word, tf, idf
the, 57, 23
issue, 6, 6
at, 36, 19
hand, 11, 8
is, 221, 40
that, 154, 36
it, 102, 36
better, 22, 12
to, 396, 43
have, 71, 30
broad, 4, 2
knowedge, 3, 1
many, 25, 12
academic, 5, 3
subgects, 1, 1
than, 47, 23
specialize, 2, 2
in, 168, 41
one, 38, 22
specific, 4, 4
subgect, 2, 1
i, 134, 24
agee, 1, 1
this, 43, 24
because, 41, 25
people, 110, 29
live, 13, 8
various, 12, 7
world, 8, 7
and, 263, 41
change, 4, 4
quikly, 1, 1
first, 11, 9
reason, 16, 10
agree, 13, 10
knoweage, 1, 1
can, 77, 29
be, 64, 30
prvent, 1, 1
for, 104, 35
isolation, 1, 1
from, 38, 22
the, 666, 42
peaple, 1, 1
was, 57, 15
a, 264, 40
nurse, 1, 1
my, 70, 22
contry, 1, 1
need, 16, 10
more, 58, 27
such, 19, 14
as, 47, 21
english, 1, 1
socialogy, 1, 1
abd, 1, 1
culture, 3, 2
to, 3, 3
order, 5, 5
socialate, 1, 1
other, 35, 23
peole, 2, 2
think, 25, 14
important, 17, 12
information, 13, 10
well, 12, 9
nusing, 1, 1
second, 3, 3
believe, 5, 5
prefer, 3, 3
person, 23, 12
who, 24, 16
knowlede, 1, 1
of, 297, 41
we, 59, 17
if, 13, 10
know, 17, 10
thing, 12, 10
dont, 10, 5
understant, 1, 1
fileds, 1, 1
others, 9, 6
causepeople, 1, 1
prejudice, 1, 1
in, 44, 23
conclusion, 4, 4
content, 3, 3
our, 27, 16
society, 5, 5
there, 20, 13
changed, 1, 1
so, 27, 17
qulicky, 1, 1
we, 11, 7
learn, 25, 9
the issue, 1, 1
issue at, 1, 1
at hand, 1, 1
hand is, 1, 1
is that, 9, 5
that it, 4, 2
it is, 34, 21
is better, 5, 5
better to, 2, 2
to have, 10, 8
have broad, 4, 2
broad knowedge, 1, 1
knowedge many, 1, 1
many academic, 4, 2
academic subgects, 1, 1
subgects than, 1, 1
than to, 3, 3
to specialize, 1, 1
specialize in, 2, 2
in one, 3, 3
one specific, 2, 2
specific subgect, 1, 1
subgect i, 1, 1
i agee, 1, 1
agee this, 1, 1
this because, 1, 1
because people, 1, 1
people live, 1, 1
live various, 2, 1
various world, 2, 1
world and, 1, 1
and change, 1, 1
change quikly, 1, 1
quikly the, 1, 1
the first, 1, 1
first reason, 1, 1
reason that, 3, 2
that i, 10, 6
i agree, 5, 5
agree that, 3, 3
that to, 2, 2
broad knoweage, 1, 1
knoweage is, 1, 1
it can, 3, 3
can be, 9, 7
be prvent, 1, 1
prvent for, 1, 1
for isolation, 1, 1
isolation from, 1, 1
from the, 12, 9
the peaple, 1, 1
peaple i, 1, 1
i was, 10, 7
was a, 8, 5
a nurse, 1, 1
nurse in, 1, 1
in my, 7, 6
my contry, 1, 1
contry and, 1, 1
and need, 1, 1
need more, 1, 1
more various, 1, 1
various knowedge, 1, 1
knowedge such, 1, 1
such as, 9, 8
as english, 1, 1
english socialogy, 1, 1
socialogy abd, 1, 1
abd culture, 1, 1
culture to, 1, 1
to in, 1, 1
in order, 5, 5
order to, 5, 5
to socialate, 1, 1
socialate other, 1, 1
other peole, 1, 1
peole i, 1, 1
i need, 3, 2
need to, 9, 5
to many, 1, 1
academic knowedge, 1, 1
knowedge i, 1, 1
i think, 12, 7
think that, 13, 6
is important, 2, 2
important to, 2, 2
have various, 1, 1
various information, 1, 1
information as, 1, 1
as well, 3, 3
well as, 3, 3
as nusing, 1, 1
nusing the, 1, 1
the second, 1, 1
second reason, 1, 1
reason i, 1, 1
i believe, 1, 1
believe that, 3, 3
i prefer, 1, 1
prefer person, 1, 1
person who, 4, 4
who have, 3, 3
broad knowlede, 1, 1
knowlede of, 1, 1
of many, 2, 2
academic subgect, 1, 1
subgect is, 1, 1
that we, 4, 4
we live, 1, 1
world if, 1, 1
if i, 1, 1
i know, 2, 2
know one, 1, 1
one thing, 1, 1
thing i, 1, 1
i dont, 1, 1
dont understant, 1, 1
understant fileds, 1, 1
fileds of, 1, 1
of others, 1, 1
others it, 1, 1
it causepeople, 1, 1
causepeople have, 1, 1
have prejudice, 1, 1
prejudice the, 1, 1
the other, 10, 10
other one, 1, 1
one in, 1, 1
in conclusion, 4, 4
conclusion i, 2, 2
i content, 1, 1
content that, 1, 1
that our, 1, 1
our society, 1, 1
society there, 1, 1
there is, 6, 6
is changed, 1, 1
changed so, 1, 1
so qulicky, 1, 1
qulicky we, 1, 1
we have, 2, 2
have to, 8, 5
to learn, 4, 4
learn various, 1, 1
various thing, 1, 1
when, 16, 14
comes, 4, 4
relaxing, 2, 1
after, 8, 7
tedious, 3, 2
daily, 6, 5
routine, 2, 2
exercising, 5, 1
physically, 2, 1
rather, 15, 11
watching, 10, 2
movie, 8, 1
or, 56, 20
reading, 8, 5
book, 9, 4
fulfills, 1, 1
purpose, 4, 4
former, 2, 2
outshines, 3, 3
latter, 1, 1
terms, 3, 3
its, 12, 7
feasibility, 9, 4
convenience, 2, 1
low-cost, 1, 1
modern, 5, 4
generally, 5, 4
speaking, 1, 1
major, 4, 4
part, 3, 3
tend, 3, 3
do, 37, 19
outdoor, 1, 1
activity, 1, 1
indoor, 1, 1
although, 6, 6
with, 73, 29
movies, 1, 1
books, 3, 2
has, 11, 10
point, 4, 2
students, 32, 11
reject, 1, 1
stay, 2, 2
study, 9, 6
room, 2, 2
read, 6, 6
wordy, 1, 1
novel, 2, 2
tiring, 1, 1
day, 6, 6
surrounded, 1, 1
by, 44, 21
textbooks, 1, 1
while, 6, 5
adults, 1, 1
confined, 1, 1
airtight, 1, 1
office, 2, 2
stick, 1, 1
on, 132, 30
chair, 1, 1
without, 11, 9
sufficient, 2, 2
space, 3, 2
move, 4, 3
their, 52, 19
