word, tf, idf
the, 417, 56
idea, 21, 12
of, 2386, 60
utopia, 62, 2
discusses, 3, 3
faultlessly, 2, 2
designed, 9, 6
society, 119, 21
structure, 5, 5
which, 239, 43
actually, 11, 8
does, 25, 18
not, 345, 51
exist, 5, 5
word, 11, 7
comes, 22, 16
from, 252, 52
greek, 3, 3
where, 76, 32
“ou”, 2, 2
stands, 8, 7
for, 665, 55
“nonexistent, 2, 2
“eu”, 2, 2
“perfectness”, 2, 2
and, 2342, 60
“topos”, 2, 2
area, 21, 11
or, 370, 50
country, 35, 15
nowadays, 9, 6
utopias, 2, 2
are, 705, 50
well-known, 5, 4
as, 610, 57
the, 3666, 60
forms, 13, 9
that, 989, 60
impossible, 9, 5
to, 2113, 60
make, 58, 29
it, 382, 53
occur, 10, 10
there, 58, 26
two, 47, 23
types, 12, 11
negative, 27, 14
positive, 40, 16
utopia, 12, 2
is, 1121, 57
called, 26, 15
dystopia, 2, 2
describes, 8, 7
type, 21, 12
has, 198, 42
strict, 3, 3
rules, 13, 10
authorities, 3, 3
no, 74, 31
room, 3, 3
people’s, 14, 8
fault, 3, 3
eutopia, 2, 2
expresses, 3, 3
real, 19, 14
perfectness, 2, 2
perfect, 11, 7
most, 140, 41
famous, 5, 5
example, 56, 23
utopias, 2, 2
thomas, 28, 4
more’s, 26, 2
author, 9, 5
book, 39, 5
more, 42, 4
was, 297, 38
born, 8, 7
in, 1173, 59
1478, 2, 2
london, 2, 2
he, 123, 23
had, 85, 24
an, 229, 50
education, 25, 11
on, 358, 53
law, 19, 7
he, 62, 19
a, 1207, 59
commissioner, 2, 2
member, 2, 2
parliament, 2, 2
against, 30, 12
wars, 7, 3
unfair, 12, 5
taxes, 2, 2
death, 26, 12
penalty, 4, 3
although, 32, 15
seems, 14, 10
be, 474, 57
anti-monarchic, 2, 2
due, 56, 29
his, 184, 26
behaviors, 13, 7
thoughts, 8, 5
consultant, 2, 2
king, 3, 3
england, 28, 7
henry, 11, 4
8th, 2, 2
always, 33, 16
protecting, 5, 5
rights, 20, 8
humanity, 4, 4
reason, 31, 16
write, 9, 6
originally, 5, 5
written, 12, 5
latin, 4, 2
translated, 5, 3
into, 86, 37
english, 11, 7
title, 4, 4
“libellus, 2, 2
vere, 2, 2
aureus, 2, 2
nec, 2, 2
minus, 2, 2
salutaris, 2, 2
quam, 2, 2
festivus, 2, 2
de, 2, 2
optimo, 2, 2
rei, 2, 2
publicae, 2, 2
statu, 2, 2
deque, 2, 2
nova, 2, 2
insula, 2, 2
utopia”, 2, 2
“no, 3, 3
less, 2, 2
beneficial, 2, 2
than, 2, 2
entertaining, 2, 2
a, 71, 38
truly, 2, 2
golden, 2, 2
little, 5, 5
book”, 2, 2
titles, 2, 2
in, 197, 51
tells, 4, 4
about, 127, 36
nonexistent, 2, 2
narrators, 2, 2
vespucci, 4, 2
who, 177, 35
italian, 2, 2
sailor, 10, 4
guest, 3, 3
person, 43, 16
trip, 4, 3
raphael, 8, 2
hytloday, 4, 2
island, 4, 4
one, 116, 34
knows, 6, 6
located, 6, 6
it, 136, 39
consists, 10, 8
fifty-four, 3, 3
cities, 2, 2
they, 395, 47
speak, 3, 3
same, 41, 27
language, 16, 9
have, 316, 48
management, 33, 8
system, 22, 12
known, 33, 17
“philarch”, 4, 2
people, 187, 37
work, 66, 22
collectively, 3, 3
three, 28, 15
hours, 19, 10
morning, 2, 2
afternoon, 3, 3
total, 18, 10
six, 17, 12
day, 26, 15
all, 17, 14
problems, 58, 19
discussed, 13, 9
congress, 2, 2
all, 191, 47
can, 282, 47
attend, 5, 5
their, 426, 52
these, 165, 38
protected, 6, 5
by, 375, 52
state, 27, 16
1516, 4, 2
time, 98, 34
range, 15, 10
with, 456, 56
renaissance, 4, 2
when, 100, 34
desire, 23, 9
expand, 2, 2
limits, 4, 4
explore, 5, 4
more, 165, 42
life, 72, 26
nature, 15, 11
completes, 3, 3
only, 94, 38
twenty-four, 2, 2
years, 49, 23
after, 46, 24
discovery, 3, 3
america, 25, 9
at, 18, 12
era, 5, 3
curiosity, 8, 5
exploring, 5, 3
new, 49, 27
places, 25, 10
world, 70, 24
explored, 6, 6
yet, 14, 11
this, 155, 38
affects, 8, 8
well, 61, 24
other, 153, 46
creates, 9, 7
imaginative, 2, 2
wok, 2, 2
affected, 20, 13
situation, 23, 14
personal, 32, 12
interests, 12, 8
such, 122, 40
interest, 12, 9
astronomy, 9, 3
wanted, 8, 5
however, 24, 17
did, 38, 18
happen, 11, 7
reflects, 2, 2
telling, 4, 4
utopian, 10, 2
good, 99, 29
another, 23, 16
hythloday, 6, 2
like, 76, 25
coincidence, 2, 2
because, 96, 32
vespucci’s, 2, 2
stories, 5, 5
so, 20, 11
seen, 25, 16
writes, 2, 2
under, 43, 21
effects, 30, 14
books, 17, 8
reflection, 4, 4
own, 53, 18
there, 89, 34
many, 110, 34
conditions, 28, 10
match, 4, 4
sixteenth, 2, 2
century, 9, 7
addition, 25, 11
spain, 7, 5
france, 12, 6
developed, 14, 12
economical, 8, 4
aspect, 20, 11
during, 13, 10
discoveries, 2, 2
treasures, 2, 2
were, 150, 29
found, 29, 16
stolen, 2, 2
helped, 11, 7
bourgeoisie, 2, 2
progress, 9, 9
created, 16, 11
differences, 13, 10
between, 62, 27
bourgeoisie’s, 2, 2
development, 68, 22
monarchy, 6, 2
increasing, 11, 10
full, 3, 3
strength, 2, 2
pressure, 24, 11
over, 68, 33
either, 16, 11
sending, 6, 5
colonies, 9, 4
taking, 19, 14
control, 33, 17
lands, 4, 4
imperialism, 3, 3
shows, 25, 13
this, 289, 51
ideology, 15, 3
having, 28, 21
that’s, 3, 3
how, 96, 32
illustrates, 4, 4
being, 94, 33
tolerant, 7, 3
ideologies, 5, 3
even, 70, 28
faults, 3, 3
religious, 21, 6
an, 16, 13
environment, 43, 20
makes, 17, 14
propaganda, 2, 2
christianity, 3, 3
understates, 2, 2
religions, 2, 2
appreciated, 5, 3
