word, tf, idf
the, 139, 69
pesipicuous, 2, 2
phrase, 2, 2
on, 29, 25
the, 1988, 109
move, 8, 7
has, 71, 39
probably, 16, 14
been, 55, 35
termed, 2, 2
after, 35, 26
much, 40, 28
thought, 19, 15
research, 2, 2
shows, 10, 10
that, 614, 105
since, 31, 25
dawn, 3, 3
of, 990, 107
civilisation, 2, 2
man, 20, 12
a, 844, 109
tourist, 10, 6
in, 694, 107
crude, 2, 2
sense, 22, 18
this, 54, 37
is, 563, 91
evident, 2, 2
study, 10, 7
nomads, 2, 2
shifting, 2, 2
agriculture, 2, 2
and, 1079, 109
like, 66, 44
however, 71, 50
my, 317, 68
purpose, 3, 3
to, 1330, 109
highlight, 3, 3
this, 145, 68
fact, 37, 30
not, 203, 78
discuss, 3, 3
history, 27, 11
but, 117, 70
merely, 3, 3
initiate, 2, 2
debate, 3, 3
whether, 15, 14
therell, 2, 2
be, 265, 94
fewer, 7, 5
cars, 54, 11
coming, 10, 10
twenty, 13, 7
years, 42, 29
or, 138, 67
in, 103, 64
opinion, 19, 18
number, 18, 13
produced, 2, 2
future, 34, 20
will, 185, 65
on, 246, 87
rise, 11, 7
rather, 15, 14
than, 65, 42
passing, 4, 4
declination, 2, 2
i, 653, 88
would, 111, 56
support, 18, 12
stand, 8, 8
with, 258, 94
following, 5, 5
reasons, 19, 17
automative, 2, 2
industry, 9, 7
witnessed, 7, 7
manifold, 2, 2
increase, 7, 3
invented, 4, 4
wheel, 4, 4
so, 23, 15
believe, 54, 36
ever, 12, 11
decline, 3, 3
highly, 5, 5
unlikely, 2, 2
improbable, 2, 2
firstly, 2, 2
economic, 9, 5
reviews, 2, 2
show, 14, 11
living, 22, 18
conditions, 4, 4
improve, 4, 4
which, 88, 54
means, 17, 17
people, 274, 73
have, 220, 82
greater, 6, 5
leisure, 4, 4
time, 106, 61
that, 15, 14
goes, 7, 7
out, 77, 47
suggest, 2, 2
more, 176, 67
spend, 14, 13
their, 210, 67
families, 4, 4
go, 35, 27
vacations, 3, 3
using, 15, 11
can, 214, 70
drive, 7, 7
farther, 2, 2
destinations, 5, 5
even, 11, 11
if, 81, 55
inclinated, 2, 2
